BestPoint_0,BestPoint_1,Gbest_0,Gbest_1
0.00082394,0.914343,-1.9596,-0.959596
0.00082394,0.914343,-1.91919,-0.919192
0.00109278,0.92139,-1.87879,-0.878788
0.00109278,0.92139,-1.83838,-0.838384
0.00109278,0.927431,-1.79798,-0.79798
0.00133041,0.971825,-1.75758,-0.757576
0.00197534,0.978401,-1.71717,-0.717172
0.00332927,0.978401,-1.67677,-0.676768
0.00332927,0.978401,-1.63636,-0.636364
0.00336446,0.999681,-1.59596,-0.59596
0.00389053,1.00898,-1.55556,-0.555556
0.00389053,1.00898,-1.51515,-0.515152
0.00389053,1.00965,-1.47475,-0.474747
0.00474552,1.01752,-1.43434,-0.434343
0.00474552,1.02148,-1.39394,-0.393939
0.00474552,1.03166,-1.35354,-0.353535
0.00488338,1.03166,-1.31313,-0.313131
0.00488338,1.03166,-1.27273,-0.272727
0.00639766,1.03573,-1.23232,-0.232323
0.006652,1.03705,-1.19192,-0.191919
0.00789441,1.03705,-1.15152,-0.151515
0.00789441,1.03783,-1.11111,-0.111111
0.00845029,1.03783,-1.07071,-0.070707
0.00845029,1.03783,-1.0303,-0.030303
0.00944386,1.04282,-0.989899,0.010101
0.0103991,1.04282,-0.949495,0.050505
0.0103991,1.04282,-0.909091,0.090909
0.0103991,1.04548,-0.868687,0.131313
0.0116182,1.04548,-0.828283,0.171717
0.0161138,1.06939,-0.787879,0.212121
